date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-06-02,153.58,155.45,152.89,155.45,27770715,27770715,2.27,1.482,154.6235,"Jun 2, 17",1.1557372843395983
2017-06-05,154.34,154.45,153.46,153.93,25331662,25331662,-1.52,-0.978,153.8887,"Jun 5, 17",1.1346583478828844
2017-06-06,153.9,155.81,153.78,154.45,26624926,26624926,0.52,0.338,154.6618,"Jun 6, 17",1.141869562986497
2017-06-07,155.02,155.98,154.48,155.37,21069647,21069647,0.92,0.596,155.3424,"Jun 7, 17",1.1546278666313503
2017-06-08,155.25,155.54,154.4,154.99,21250798,21250798,-0.38,-0.245,154.8838,"Jun 8, 17",1.149358132517172
2017-06-09,155.19,155.19,146.02,148.98,64882657,64882657,-6.01,-3.878,150.1763,"Jun 9, 17",1.0660131271850328
2017-06-12,145.74,146.09,142.51,145.42,72307330,72307330,-3.56,-2.39,144.2743,"Jun 12, 17",1.016644039167992
2017-06-13,147.16,147.45,145.15,146.59,34165445,34165445,1.17,0.805,146.3566,"Jun 13, 17",1.0328692731511209
2017-06-14,147.5,147.5,143.84,145.16,31531232,31531232,-1.43,-0.976,145.3827,"Jun 14, 17",1.013038431616186
2017-06-15,143.32,144.4798,142.21,144.29,32165373,32165373,-0.87,-0.599,143.5103,"Jun 15, 17",1.0009735140389877
2017-06-16,143.78,144.5,142.2,142.27,50361093,50361093,-2.02,-1.4,143.0387,"Jun 16, 17",0.9729607169057233
2017-06-19,143.66,146.74,143.66,146.34,32541404,32541404,4.07,2.861,145.746,"Jun 19, 17",1.0294023428128456
2017-06-20,146.87,146.87,144.94,145.01,24900073,24900073,-1.33,-0.909,145.4515,"Jun 20, 17",1.0109582734132205
2017-06-21,145.52,146.0693,144.61,145.87,21265751,21265751,0.86,0.593,145.5379,"Jun 21, 17",1.022884513776888
2017-06-22,145.77,146.7,145.1199,145.63,19106294,19106294,-0.24,-0.165,145.7543,"Jun 22, 17",1.0195562606521436
2017-06-23,145.13,147.16,145.11,146.28,35439389,35439389,0.65,0.446,146.325,"Jun 23, 17",1.0285702795316594
2017-06-26,147.17,148.28,145.38,145.82,25692361,25692361,-0.46,-0.314,146.4919,"Jun 26, 17",1.0221911277092328
2017-06-27,145.01,146.16,143.62,143.73,24761891,24761891,-2.09,-1.433,144.8079,"Jun 27, 17",0.9932075900812509
2017-06-28,144.49,146.11,143.1601,145.83,22082432,22082432,2.1,1.461,145.0246,"Jun 28, 17",1.022329804922764
2017-06-29,144.71,145.13,142.28,143.68,31499368,31499368,-2.15,-1.474,143.6113,"Jun 29, 17",0.9925142040135961
2017-06-30,144.45,144.96,143.78,144.02,23024107,23024107,0.34,0.237,144.3689,"Jun 30, 17",0.9972292292736507
2017-07-03,144.88,145.3001,143.1,143.5,14277848,14277848,-0.52,-0.361,143.9834,"Jul 3, 17",0.9900180141700378
2017-07-05,143.69,144.79,142.7237,144.09,21569557,21569557,0.59,0.411,143.9402,"Jul 5, 17",0.9981999697683676
2017-07-06,143.02,143.5,142.41,142.73,24128782,24128782,-1.36,-0.944,142.8345,"Jul 6, 17",0.9793398687281496
2017-07-07,142.9,144.75,142.9,144.18,19201712,19201712,1.45,1.016,144.0646,"Jul 7, 17",0.9994480646901468
2017-07-10,144.11,145.95,143.37,145.06,21090636,21090636,0.88,0.61,144.9019,"Jul 10, 17",1.0116516594808758
2017-07-11,144.73,145.85,144.38,145.53,19781836,19781836,0.47,0.324,145.2042,"Jul 11, 17",1.0181694885168335
2017-07-12,145.87,146.18,144.82,145.74,24884478,24884478,0.21,0.144,145.4554,"Jul 12, 17",1.0210817100009848
2017-07-13,145.5,148.49,145.44,147.77,25199373,25199373,2.03,1.393,147.4737,"Jul 13, 17",1.0492331843477805
2017-07-14,147.97,149.33,147.33,149.04,20132061,20132061,1.27,0.859,148.4191,"Jul 14, 17",1.0668451904662188
2017-07-17,148.82,150.9,148.57,149.56,23793456,23793456,0.52,0.349,149.8749,"Jul 17, 17",1.0740564055698318
2017-07-18,149.2,150.13,148.67,150.08,17868792,17868792,0.52,0.348,149.4352,"Jul 18, 17",1.0812676206734446
2017-07-19,150.48,151.42,149.95,151.02,20922969,20922969,0.94,0.626,150.8273,"Jul 19, 17",1.0943032787453597
2017-07-20,151.5,151.74,150.19,150.34,17243748,17243748,-0.68,-0.45,150.7473,"Jul 20, 17",1.0848732282252507
2017-07-21,149.99,150.44,148.88,150.27,26252630,26252630,-0.07,-0.047,149.9213,"Jul 21, 17",1.0839024877305339
2017-07-24,150.58,152.44,149.9,152.09,21493160,21493160,1.82,1.211,151.5694,"Jul 24, 17",1.109141740593178
2017-07-25,151.8,153.84,151.8,152.74,18853932,18853932,0.65,0.427,153.1372,"Jul 25, 17",1.118155759472694
2017-07-26,153.35,153.93,153.06,153.46,15780951,15780951,0.72,0.471,153.5015,"Jul 26, 17",1.128140518846927
2017-07-27,153.75,153.99,147.3,150.56,32476337,32476337,-2.9,-1.89,150.9766,"Jul 27, 17",1.0879241269229332
2017-07-28,149.89,150.23,149.19,149.5,17213653,17213653,-1.06,-0.704,149.6988,"Jul 28, 17",1.0732243422886456
